Warehouse,Part_No,Total_Demand,Avg_Demand,Std_Demand,CV,Non_Zero_Months,Intermittency_Rate,Demand_Class
1152,31301,2.0,0.03,0.17,5.7,2,0.97,Intermittent
1152,31302,1.0,0.01,0.12,8.12,1,0.99,Intermittent
1152,32105,0.0,0.0,0.0,0.0,0,1.0,Dead Stock
1152,32107,63.0,0.94,2.43,2.58,27,0.6,Fast Moving
1152,32201,82.0,1.22,1.69,1.38,37,0.45,Fast Moving
1152,32215,39.0,0.58,1.02,1.76,26,0.61,Fast Moving
1152,32605,57.0,0.85,2.59,3.05,19,0.72,Slow Moving
1152,32709,48.0,0.72,0.97,1.36,31,0.54,Fast Moving
1152,32719,56.0,0.84,2.22,2.65,21,0.69,Slow Moving
1152,51118,55.0,0.82,2.41,2.94,25,0.63,Fast Moving
1152,52715,9.0,0.13,0.34,2.54,9,0.87,Slow Moving
1152,62715,2.0,0.03,0.17,5.7,2,0.97,Intermittent
1152,152094,44.0,0.66,1.9,2.89,23,0.66,Slow Moving
1152,152114,1.0,0.01,0.12,8.12,1,0.99,Intermittent
1152,152893,3.0,0.04,0.21,4.62,3,0.96,Intermittent
1152,152944,7.0,0.1,0.31,2.93,7,0.9,Slow Moving
1152,153043,65.0,0.97,2.24,2.31,28,0.58,Fast Moving
1152,153053,4.0,0.06,0.29,4.91,3,0.96,Intermittent
1152,153193,1.0,0.01,0.12,8.12,1,0.99,Intermittent
1152,153463,81.0,1.21,1.43,1.18,39,0.42,Fast Moving
1152,153614,47.0,0.7,1.04,1.48,29,0.57,Fast Moving
1152,153674,49.0,0.73,1.92,2.63,25,0.63,Fast Moving
1152,153801,64.0,0.96,2.24,2.34,29,0.57,Fast Moving
1152,172704,22.0,0.33,0.7,2.13,15,0.78,Slow Moving
1152,202704,4.0,0.06,0.29,4.91,3,0.96,Intermittent
1152,230002,5.0,0.07,0.26,3.52,5,0.93,Intermittent
1152,452206,43.0,0.64,0.96,1.49,29,0.57,Fast Moving
1152,1002704,52.0,0.78,1.71,2.2,28,0.58,Fast Moving
1152,1161611,480.0,7.16,20.65,2.88,9,0.87,Slow Moving
