Warehouse,Part_No,Total_Demand,Avg_Demand,Std_Demand,CV,Non_Zero_Months,Intermittency_Rate,Demand_Class,Demand_Percentage,Cumulative_Percentage,ABC_Class,XYZ_Class,ABC_XYZ,Forecast_Strategy
1153,MF445086,470100.0,7016.42,2076.87,0.3,67,0.0,Fast Moving,0.4964543161456752,0.4964543161456752,A,X,AX,Holt-Winters
1153,IM300205,424380.0,6334.03,2088.31,0.33,67,0.0,Fast Moving,0.4481712033309969,0.9446255194766722,A,X,AX,Holt-Winters
1155,IE321872,398372.0,5945.85,2683.59,0.45,66,0.01,Fast Moving,0.420705166627494,1.365330686104166,A,X,AX,Holt-Winters
1110,IM300205,382257.0,5705.33,3000.38,0.53,67,0.0,Fast Moving,0.4036867422397306,1.7690174283438966,A,Y,AY,ARIMA
1110,IB002922,380098.0,5673.1,2336.28,0.41,67,0.0,Fast Moving,0.4014067063568153,2.170424134700712,A,X,AX,Holt-Winters
1110,ID301958,362289.0,5407.3,2674.3,0.49,67,0.0,Fast Moving,0.3825993144907478,2.55302344919146,A,X,AX,Holt-Winters
1153,MB344408,309499.0,4619.39,1750.46,0.38,67,0.0,Fast Moving,0.3268498498038085,2.879873298995268,A,X,AX,Holt-Winters
1153,IB999850,292958.0,4372.51,1554.59,0.36,67,0.0,Fast Moving,0.3093815433937561,3.1892548423890243,A,X,AX,Holt-Winters
1155,IB002922,289508.0,4321.01,1298.53,0.3,67,0.0,Fast Moving,0.3057381326498663,3.494992975038891,A,X,AX,Holt-Winters
1110,ID201024,279032.0,4164.66,2638.06,0.63,67,0.0,Fast Moving,0.2946748367214636,3.7896678117603546,A,Y,AY,ARIMA
1155,IM300205,257520.0,3843.58,1221.68,0.32,67,0.0,Fast Moving,0.2719568506569544,4.061624662417309,A,X,AX,Holt-Winters
1153,ME074696,222928.0,3327.28,1067.09,0.32,67,0.0,Fast Moving,0.2354255855982197,4.297050248015529,A,X,AX,Holt-Winters
1110,ID309786,195310.0,2915.07,1493.92,0.51,67,0.0,Fast Moving,0.2062592905475682,4.503309538563097,A,Y,AY,ARIMA
1155,ID309786,194896.0,2908.9,924.49,0.32,67,0.0,Fast Moving,0.2058220812583014,4.709131619821399,A,X,AX,Holt-Winters
1153,IA215577,192957.0,2879.96,1291.49,0.45,67,0.0,Fast Moving,0.2037743788141269,4.912905998635526,A,X,AX,Holt-Winters
