Warehouse,Part_No,Total_Demand,Avg_Demand,Std_Demand,CV,Non_Zero_Months,Intermittency_Rate,Demand_Class,Demand_Percentage,Cumulative_Percentage,ABC_Class
1153,MF445086,470100.0,7016.42,2076.87,0.3,67,0.0,Fast Moving,0.49645431614567526,0.49645431614567526,A
1153,IM300205,424380.0,6334.03,2088.31,0.33,67,0.0,Fast Moving,0.44817120333099697,0.9446255194766722,A
1155,IE321872,398372.0,5945.85,2683.59,0.45,66,0.01,Fast Moving,0.420705166627494,1.365330686104166,A
1110,IM300205,382257.0,5705.33,3000.38,0.53,67,0.0,Fast Moving,0.40368674223973067,1.7690174283438966,A
1110,IB002922,380098.0,5673.1,2336.28,0.41,67,0.0,Fast Moving,0.4014067063568153,2.170424134700712,A
1110,ID301958,362289.0,5407.3,2674.3,0.49,67,0.0,Fast Moving,0.3825993144907478,2.5530234491914596,A
1153,MB344408,309499.0,4619.39,1750.46,0.38,67,0.0,Fast Moving,0.3268498498038085,2.879873298995268,A
1153,IB999850,292958.0,4372.51,1554.59,0.36,67,0.0,Fast Moving,0.3093815433937561,3.1892548423890243,A
1155,IB002922,289508.0,4321.01,1298.53,0.3,67,0.0,Fast Moving,0.3057381326498663,3.494992975038891,A
1110,ID201024,279032.0,4164.66,2638.06,0.63,67,0.0,Fast Moving,0.29467483672146366,3.7896678117603546,A
1155,IM300205,257520.0,3843.58,1221.68,0.32,67,0.0,Fast Moving,0.27195685065695446,4.061624662417309,A
1153,ME074696,222928.0,3327.28,1067.09,0.32,67,0.0,Fast Moving,0.23542558559821974,4.297050248015529,A
1110,ID309786,195310.0,2915.07,1493.92,0.51,67,0.0,Fast Moving,0.20625929054756825,4.503309538563097,A
1155,ID309786,194896.0,2908.9,924.49,0.32,67,0.0,Fast Moving,0.20582208125830148,4.709131619821399,A
1153,IA215577,192957.0,2879.96,1291.49,0.45,67,0.0,Fast Moving,0.2037743788141269,4.912905998635526,A
1155,ME074696,189648.0,2830.57,1687.86,0.6,67,0.0,Fast Moving,0.20027987268324832,5.113185871318774,A
1153,MF472103,171082.0,2553.46,799.97,0.31,67,0.0,Fast Moving,0.18067304257569544,5.29385891389447,A
1153,MF434104,163558.0,2441.16,686.79,0.28,67,0.0,Fast Moving,0.17272723897076017,5.46658615286523,A
1153,MF434105,158377.0,2363.84,652.52,0.28,67,0.0,Fast Moving,0.1672557864884144,5.633841939353645,A
1153,MB486038,155430.0,2319.85,808.04,0.35,67,0.0,Fast Moving,0.16414357447037292,5.797985513824018,A
1153,MB293356,154073.0,2299.6,810.34,0.35,67,0.0,Fast Moving,0.16271049957777625,5.960696013401794,A
1155,ID201024,153689.0,2293.87,1059.02,0.46,67,0.0,Fast Moving,0.16230497212106507,6.123000985522859,A
1110,ME074696,151040.0,2254.33,907.35,0.4,67,0.0,Fast Moving,0.15950746630640883,6.282508451829268,A
1153,ID201024,146970.0,2193.58,743.07,0.34,67,0.0,Fast Moving,0.1552092976897041,6.437717749518972,A
1155,IA215577,143735.0,2145.3,811.74,0.38,67,0.0,Fast Moving,0.1517929400791292,6.589510689598102,A
1155,IB999850,142182.0,2122.12,1239.09,0.58,67,0.0,Fast Moving,0.15015287721383622,6.739663566811938,A
