Part_No,Best_Model,Accuracy,MAE,RMSE,MAPE,Bias
IA202651,Moving Average,5.6,381.28,422.43,94.4,249.06
IA203036,ARIMA,82.88,260.42,321.4,17.12,-112.68
IA203086,Moving Average,43.44,364.81,470.78,56.56,224.81
IA203416,Moving Average,40.43,414.19,519.84,59.57,414.19
IA208182,Moving Average,85.44,376.52,565.91,14.56,-271.7
IA215142,Holt-Winters,55.19,540.63,618.3,44.81,-2.1
IA215577,Holt Linear,50.97,741.45,796.39,49.03,34.64
IA215578,Moving Average,53.14,336.68,379.94,46.86,141.57
IA230267,Holt-Winters,83.02,191.32,220.37,16.98,-134.26
IA301086,Moving Average,100.0,0.0,0.0,0.0,0.0
IA328687,Moving Average,0.0,1610.86,1677.52,1371.18,1610.86
IA329978,Moving Average,0.0,540.37,709.11,139.58,249.26
IB001883,Holt Linear,87.47,199.54,223.66,12.53,199.54
IB002922,Moving Average,0.0,2215.68,2530.59,257.58,2215.68
IB999501,Croston,91.57,118.39,165.64,8.43,71.85
IB999850,Moving Average,0.0,1392.57,1585.71,638.45,-139.88
ID201024,Moving Average,26.38,482.04,649.85,73.62,444.7
ID202139,Simple Exponential Smoothing,68.81,254.18,263.75,31.19,134.53
ID202167,Moving Average,80.6,392.7,473.74,19.4,-392.7
ID205077,Croston,82.55,214.38,258.02,17.45,214.38
ID206974,Moving Average,0.0,1144.89,1344.63,1697.1,1144.89
ID301958,Moving Average,0.0,3095.28,3283.01,525.89,3095.28
ID304913,Moving Average,0.0,1738.36,1983.7,338.4,1738.36
ID309786,Holt-Winters,15.41,1421.62,1811.21,84.59,1315.52
ID329244,Simple Exponential Smoothing,89.08,511.31,710.26,10.92,-447.27
ID332218,Croston,5.35,818.37,1216.48,94.65,653.77
ID332219,Croston,18.54,728.31,820.05,81.46,109.75
ID334315,Croston,43.56,1135.88,1499.21,56.44,1135.88
ID364170,Moving Average,0.0,1436.91,1704.96,1566.98,1436.91
ID370657,Moving Average,21.19,1239.64,1452.69,78.81,150.53
ID376839,Holt-Winters,87.25,500.0,638.28,12.75,-500.0
ID377754,Moving Average,20.9,1105.96,1329.34,79.1,201.3
ID378974,Moving Average,39.37,786.2,1294.33,60.63,706.94
ID380825,Simple Exponential Smoothing,84.12,206.77,214.68,15.88,206.77
IE314595,Moving Average,88.38,333.33,383.32,11.62,253.33
IE321872,Simple Exponential Smoothing,84.78,481.66,505.96,15.22,14.99
IE332266,Moving Average,85.16,684.91,834.95,14.84,684.91
IF000466,Moving Average,44.12,389.95,508.6,55.88,389.95
IF000504,ARIMA,90.34,156.09,197.22,9.66,-40.15
IM300205,Moving Average,65.6,1679.51,2011.34,34.4,-49.38
MB293356,Holt Linear,97.19,44.95,46.48,2.81,17.69
MB344408,Moving Average,0.0,1502.22,1623.32,270.72,1008.89
MB394519,Holt Linear,83.3,200.54,286.95,16.7,122.42
MB486038,ARIMA,89.71,218.01,260.7,10.29,4.48
ME013536,Moving Average,93.66,112.54,140.8,6.34,40.25
ME020244,Holt-Winters,83.84,327.04,333.77,16.16,-327.04
ME074696,Moving Average,8.83,843.06,933.81,91.17,-40.49
ME603242,Moving Average,93.17,98.58,129.29,6.83,43.17
MF140225,Croston,85.28,215.87,350.43,14.72,215.87
MF434103,Holt Linear,65.12,890.6,1038.92,34.88,-593.96
MF434104,Moving Average,62.8,775.56,867.23,37.2,-271.11
MF434105,Holt Linear,32.94,1079.01,1084.08,67.06,364.74
MF445086,Moving Average,0.0,3079.94,3770.99,741.27,3012.9
MF472103,Holt Linear,90.11,378.72,548.38,9.89,-296.15
MF472127,Croston,39.92,646.21,863.27,60.08,638.63
MH001715,ARIMA,71.88,340.06,386.22,28.12,282.82
MS602013,Moving Average,87.32,191.36,224.06,12.68,12.84
MS660163,Holt-Winters,81.86,459.4,621.82,18.14,-459.4
MS660164,Holt-Winters,92.35,165.6,197.42,7.65,-43.19
