Warehouse,Part_No,Total_Demand,Avg_Demand,Std_Demand,CV,Non_Zero_Months,Intermittency_Rate,Demand_Class,Safety_Stock,Reorder_Point,Target_Stock_Level,Inventory_Coverage,Service_Level_Achievement,Inventory_Risk
1152,31301,2.0,0.03,0.17,5.7,2,0.97,Intermittent,0.2805,0.3105,0.3405,11.350000000000001,100.0,High Risk
1152,31302,1.0,0.01,0.12,8.12,1,0.99,Intermittent,0.19799999999999998,0.208,0.218,21.8,100.0,High Risk
1152,32105,0.0,0.0,0.0,0.0,0,1.0,Dead Stock,0.0,0.0,0.0,0.0,100.0,Dead Inventory
1152,32107,63.0,0.94,2.43,2.58,27,0.6,Fast Moving,4.0095,4.9495000000000005,5.8895,6.265425531914894,100.0,High Risk
1152,32201,82.0,1.22,1.69,1.38,37,0.45,Fast Moving,2.7885,4.0085,5.2284999999999995,4.285655737704918,100.0,Medium Risk
1152,32215,39.0,0.58,1.02,1.76,26,0.61,Fast Moving,1.6829999999999998,2.263,2.843,4.901724137931034,100.0,Medium Risk
1152,32605,57.0,0.85,2.59,3.05,19,0.72,Slow Moving,4.273499999999999,5.123499999999999,5.973499999999999,7.027647058823528,100.0,High Risk
1152,32709,48.0,0.72,0.97,1.36,31,0.54,Fast Moving,1.6004999999999998,2.3205,3.0404999999999998,4.222916666666666,100.0,Medium Risk
1152,32719,56.0,0.84,2.22,2.65,21,0.69,Slow Moving,3.6630000000000003,4.503,5.343,6.360714285714286,100.0,High Risk
1152,51118,55.0,0.82,2.41,2.94,25,0.63,Fast Moving,3.9765,4.7965,5.6165,6.84939024390244,100.0,High Risk
1152,52715,9.0,0.13,0.34,2.54,9,0.87,Slow Moving,0.561,0.6910000000000001,0.8210000000000001,6.315384615384616,100.0,High Risk
1152,62715,2.0,0.03,0.17,5.7,2,0.97,Intermittent,0.2805,0.3105,0.3405,11.350000000000001,100.0,High Risk
1152,152094,44.0,0.66,1.9,2.89,23,0.66,Slow Moving,3.135,3.795,4.455,6.75,100.0,High Risk
1152,152114,1.0,0.01,0.12,8.12,1,0.99,Intermittent,0.19799999999999998,0.208,0.218,21.8,100.0,High Risk
1152,152893,3.0,0.04,0.21,4.62,3,0.96,Intermittent,0.3465,0.38649999999999995,0.42649999999999993,10.662499999999998,100.0,High Risk
1152,152944,7.0,0.1,0.31,2.93,7,0.9,Slow Moving,0.5115,0.6114999999999999,0.7114999999999999,7.114999999999998,100.0,High Risk
1152,153043,65.0,0.97,2.24,2.31,28,0.58,Fast Moving,3.696,4.666,5.636,5.810309278350516,100.0,High Risk
1152,153053,4.0,0.06,0.29,4.91,3,0.96,Intermittent,0.4784999999999999,0.5385,0.5985,9.975000000000001,100.0,High Risk
1152,153193,1.0,0.01,0.12,8.12,1,0.99,Intermittent,0.19799999999999998,0.208,0.218,21.8,100.0,High Risk
1152,153463,81.0,1.21,1.43,1.18,39,0.42,Fast Moving,2.3594999999999997,3.5694999999999997,4.7795,3.9499999999999997,100.0,Medium Risk
1152,153614,47.0,0.7,1.04,1.48,29,0.57,Fast Moving,1.716,2.416,3.1159999999999997,4.451428571428571,100.0,Medium Risk
1152,153674,49.0,0.73,1.92,2.63,25,0.63,Fast Moving,3.1679999999999997,3.8979999999999997,4.628,6.33972602739726,100.0,High Risk
1152,153801,64.0,0.96,2.24,2.34,29,0.57,Fast Moving,3.696,4.656000000000001,5.6160000000000005,5.8500000000000005,100.0,High Risk
