Warehouse,Part_No,Date,Demand,Material_Description
1152,IM300205,2020-10,660.0,
1152,IM300205,2020-11,960.0,
1152,IM300205,2020-12,500.0,
1152,IM300205,2021-01,800.0,
1152,IM300205,2021-02,1000.0,
1152,IM300205,2021-03,1260.0,
1152,IM300205,2021-04,1000.0,
1152,IM300205,2021-05,740.0,
1152,IM300205,2021-06,980.0,
1152,IM300205,2021-07,920.0,
1152,IM300205,2021-08,760.0,
1152,IM300205,2021-09,700.0,
1152,IM300205,2021-10,700.0,
1152,IM300205,2021-11,1220.0,
1152,IM300205,2021-12,1500.0,
1152,IM300205,2022-01,1240.0,
1152,IM300205,2022-02,920.0,
1152,IM300205,2022-03,960.0,
1152,IM300205,2022-04,1280.0,
1152,IM300205,2022-05,1020.0,
1152,IM300205,2022-06,960.0,
1152,IM300205,2022-07,680.0,
1152,IM300205,2022-08,780.0,
1152,IM300205,2022-09,660.0,
1152,IM300205,2022-10,660.0,
1152,IM300205,2022-11,940.0,
1152,IM300205,2022-12,740.0,
1152,IM300205,2023-01,900.0,
1152,IM300205,2023-02,1240.0,
1152,IM300205,2023-03,1220.0,
1152,IM300205,2023-04,1840.0,
1152,IM300205,2023-05,1240.0,
1152,IM300205,2023-06,1060.0,
1152,IM300205,2023-07,840.0,
1152,IM300205,2023-08,1260.0,
1152,IM300205,2023-09,1280.0,
1152,IM300205,2023-10,1420.0,
1152,IM300205,2023-11,1280.0,
1152,IM300205,2023-12,1700.0,
1152,IM300205,2024-01,1420.0,
1152,IM300205,2024-02,1640.0,
1152,IM300205,2024-03,1780.0,
1152,IM300205,2024-04,2000.0,
1152,IM300205,2024-05,1680.0,
1152,IM300205,2024-06,1620.0,
1152,IM300205,2024-07,1860.0,
1152,IM300205,2024-08,980.0,
1152,IM300205,2024-09,3268.0,
1152,IM300205,2024-10,1440.0,
1152,IM300205,2024-11,1520.0,
1152,IM300205,2024-12,7100.0,
1152,IM300205,2025-01,1940.0,
1152,IM300205,2025-02,2140.0,
1152,IM300205,2025-03,2740.0,
1152,IM300205,2025-04,2260.0,
1152,IM300205,2025-05,2200.0,
1152,IM300205,2025-06,2120.0,
1152,IM300205,2025-07,2540.0,
1152,IM300205,2025-08,2260.0,
1152,IM300205,2025-09,2200.0,
1152,IM300205,2025-10,2500.0,
1152,IM300205,2025-11,2520.0,
1152,IM300205,2025-12,3080.0,
1152,IM300205,2026-01,2880.0,
1152,IM300205,2026-02,2960.0,
1152,IM300205,2026-03,3760.0,
1152,IM300205,2026-04,3180.0,
1153,IA203036,2020-10,1680.0,"GASKET,REAR AXLE SHAFT (LCV)"
1153,IA203086,2020-10,800.0,GASKET REAR AXLE SHAFT (HCV)
1153,IA208182,2020-10,1808.0,"CAP, FUEL TANK (HCV)"
1153,IA215142,2020-10,3384.0,"OIL SEAL,HUB REAR OUTER WHEEL"
1153,IA215577,2020-10,4586.0,"OIL SEAL,HUB REAR OUTER WHEEL (MCV)"
1153,IA215578,2020-10,2076.0,OIL SEAL HUB REAR OUTER (HCV)
1153,IA230267,2020-10,2242.0,HUB BOLT KIT REAR 10.90
1153,IA301086,2020-10,1276.0,WHEEL NUT ASSY (HCV/MAV)(SIZE- A/F - 32)
1153,IA329978,2020-10,840.0,PLASTIC CLIP.
1153,IB002922,2020-10,2436.0,ELEMENT KIT OIL FILTER
1153,IB999501,2020-10,2134.0,GEAR BOX BUSHING KIT
1153,IB999850,2020-10,4349.0,FILTER SET E483
1153,ID201024,2020-10,2705.0,BY PASS FILTER
1153,ID202167,2020-10,1292.0,CAP RADIATOR (TC)
1153,ID205077,2020-10,1138.0,CABLE ACCELERATOR (1090 K CNG)
1153,ID301958,2020-10,2884.0,FUEL STRAINER (MAV COWL)
1153,ID309786,2020-10,1048.0,VALVE STEM SEAL
1153,ID334315,2020-10,221.0,MAIN FILTER KIT
1153,IF000504,2020-10,1796.0,"OIL SEAL, FR HUB WHEEL"
1153,IM300205,2020-10,3140.0,EICHER PREMIUM COOLANT
1153,MB293356,2020-10,2530.0,HEX BOLT 12 X1.25 X 30  (10
1153,MB344408,2020-10,6760.0,CLIP TRIM
1153,MB394519,2020-10,1720.0,KNOB INSIDE LOCK
1153,MB486038,2020-10,2790.0,BALL JOINT G/SHF CONT.LINK
1153,ME013536,2020-10,2148.0,GASKET EXHAUST MANIFOLD
1153,ME020244,2020-10,1232.0,CAP VALVE GEAR TRAIN
1153,ME074696,2020-10,2712.0,"SEAL, VALVE STEM"
1153,ME603242,2020-10,1667.0,"ME603242, RING SYNCHRONIZER"
1153,MF140225,2020-10,1180.0,BOLT M8x1.25x20
1153,MF434103,2020-10,1700.0,FLANGE NUT M-6
1153,MF434104,2020-10,1860.0,NUT FL. M8X1.25
1153,MF434105,2020-10,1820.0,NUT FL. M10x1.25
1153,MF445086,2020-10,7580.0,NUT SELF LOCKING 12
1153,MF472103,2020-10,2620.0,SPLIT PIN (5X45)
1153,MF472127,2020-10,1460.0,SPLIT PIN
1153,MH001715,2020-10,1790.0,"MH001715, BOLT"
1153,MS602013,2020-10,1370.0,HOSE FUEL 6X110
1153,MS660163,2020-10,480.0,HOSE CLIP (11.6)
1153,MS660164,2020-10,820.0,HOSE CLIP (13.1)
1153,ID376839,2020-10,30.0,SERVICE KIT OIL FILTER & O RING
1153,ID329244,2020-10,0.0,VALVE STEM SEAL
1153,IA203036,2020-11,1210.0,"GASKET,REAR AXLE SHAFT (LCV)"
1153,IA203086,2020-11,1110.0,GASKET REAR AXLE SHAFT (HCV)
1153,IA208182,2020-11,1013.0,"CAP, FUEL TANK (HCV)"
1153,IA215142,2020-11,2718.0,"OIL SEAL,HUB REAR OUTER WHEEL"
1153,IA215577,2020-11,3442.0,"OIL SEAL,HUB REAR OUTER WHEEL (MCV)"
1153,IA215578,2020-11,1568.0,OIL SEAL HUB REAR OUTER (HCV)
1153,IA230267,2020-11,2801.0,HUB BOLT KIT REAR 10.90
1153,IA301086,2020-11,1062.0,WHEEL NUT ASSY (HCV/MAV)(SIZE- A/F - 32)
1153,IA329978,2020-11,602.0,PLASTIC CLIP.
